Latitude;Longitude;pairs;calibrate curve;type of material;Convencial age;SD convencial age;reference;obs;period time
-33.0409;-71.6087;1;marine;perumytilus purpuratus;580;25;Merino-Campos et al. 2019;post-bomb;CWP
-33.0409;-71.6087;1;terrestrial;collected date;-1.5;0.25;Merino-Campos et al. 2019;post-bomb;CWP
-33.0409;-71.6087;2;marine;fisurella cumingi;580;20;Merino-Campos et al. 2019;reliable date;CWP
-33.0409;-71.6087;2;terrestrial;collected date;2.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
-33.0409;-71.6087;3;marine;Scurria lacerata;730;20;Merino-Campos et al. 2019;reliable date;CWP
-33.0409;-71.6087;3;terrestrial;collected date;2.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
-34.6418;-72.0432;4;marine;Scurria zebrina;550;30;Merino-Campos et al. 2019;reliable date;CWP
-34.6418;-72.0432;4;terrestrial;collected date;1.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
-36.626;-73.0619;5;marine;diplodonta inconspicua;690;25;Merino-Campos et al. 2019;post-bomb;CWP
-36.626;-73.0619;5;terrestrial;collected date;-3.5;0.25;Merino-Campos et al. 2019;post-bomb;CWP
-36.626;-73.0619;6;marine;Diplodonta inconspicua;675;30;Merino-Campos et al. 2019;reliable date;CWP
-36.626;-73.0619;6;terrestrial;collected date;7.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
-36.626;-73.0619;7;marine;Scurria lacerata;640;25;Merino-Campos et al. 2019;reliable date;CWP
-36.626;-73.0619;7;terrestrial;collected date;7.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
-33.6414;-78.8411;8;marine;Arca sp.;490;30;Merino-Campos et al. 2019;reliable date;CWP
-33.6414;-78.8411;8;terrestrial;collected date;48.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
-36.7364;-72.9936;9;marine;ensis macha;675;25;Merino-Campos et al. 2019;reliable date;CWP
-36.7364;-72.9936;9;terrestrial;collected date;62.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
-36.7364;-72.9936;10;marine;ensis macha;625;30;Merino-Campos et al. 2019;reliable date;CWP
-36.7364;-72.9936;10;terrestrial;collected date;62.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
-36.7395;-73.1577;11;marine;gary solida;645;30;Merino-Campos et al. 2019;reliable date;CWP
-36.7395;-73.1577;11;terrestrial;collected date;62.5;0.25;Merino-Campos et al. 2019;reliable date;CWP
