"","Latitude","Longitude","Cal BP(Maximun probability)","error(yr)","R","sdR","pair","reference","obs","period","label"
"1","-33.0409","-71.6087","-2","2.5","163.96","90.99","1","Merino-Campos et al. 2019","post-bomb","CWP","-33.0409/-2/-71.6087"
"2","-33.0409","-71.6087","2","2.5","159.41","89.75","2","Merino-Campos et al. 2019","reliable date","CWP","-33.0409/2/-71.6087"
"3","-33.0409","-71.6087","2","2.5","245.69","138.24","3","Merino-Campos et al. 2019","reliable date","CWP","-33.0409/2/-71.6087"
"4","-34.6418","-72.0432","2","2.5","161.09","92.65","4","Merino-Campos et al. 2019","reliable date","CWP","-34.6418/2/-72.0432"
"5","-36.626","-73.0619","-4","2.5","231.91","120.93","5","Merino-Campos et al. 2019","post-bomb","CWP","-36.626/-4/-73.0619"
"6","-36.626","-73.0619","8","2.5","210.56","123.56","6","Merino-Campos et al. 2019","reliable date","CWP","-36.626/8/-73.0619"
"7","-36.626","-73.0619","8","2.5","168.02","111.51","7","Merino-Campos et al. 2019","reliable date","CWP","-36.626/8/-73.0619"
"8","-33.6414","-78.8411","48","2.5","114.93","92.73","8","Merino-Campos et al. 2019","reliable date","CWP","-33.6414/48/-78.8411"
"9","-36.7364","-72.9936","62","2.5","154.76","121.97","9","Merino-Campos et al. 2019","reliable date","CWP","-36.7364/62/-72.9936"
"10","-36.7364","-72.9936","62","2.5","88.48","99.65","10","Merino-Campos et al. 2019","reliable date","CWP","-36.7364/62/-72.9936"
"11","-36.7395","-73.1577","62","2.5","139.36","120.95","11","Merino-Campos et al. 2019","reliable date","CWP","-36.7395/62/-73.1577"
"12","-41.4754","-72.9465","44","2.5","165.3","125.08","12","Merino-Campos et al. 2019","reliable date","CWP","-41.4754/44/-72.9465"
"13","-41.4754","-72.9465","44","2.5","118.87","92.66","13","Merino-Campos et al. 2019","reliable date","CWP","-41.4754/44/-72.9465"
"14","-41.8596","-73.8216","4","2.5","171.76","111.38","14","Merino-Campos et al. 2019","reliable date","CWP","-41.8596/4/-73.8216"
"15","-41.8596","-73.8216","2","2.5","159.82","92.83","15","Merino-Campos et al. 2019","reliable date","CWP","-41.8596/2/-73.8216"
"16","-41.8596","-73.8216","4","2.5","159.34","92.59","16","Merino-Campos et al. 2019","reliable date","CWP","-41.8596/4/-73.8216"
"17","-41.8596","-73.8216","-4","2.5","166.03","90.98","17","Merino-Campos et al. 2019","post-bomb","CWP","-41.8596/-4/-73.8216"
"18","-41.8596","-73.8216","4","2.5","156.84","91.15","18","Merino-Campos et al. 2019","reliable date","CWP","-41.8596/4/-73.8216"
"19","-41.8596","-73.8216","76","2.5","125.66","119.43","19","Merino-Campos et al. 2019","reliable date","CWP","-41.8596/76/-73.8216"
"20","-41.8596","-73.8216","104","2.5","41.44","96.48","20","Merino-Campos et al. 2019","reliable date","CWP","-41.8596/104/-73.8216"
"21","-41.8596","-73.8216","2","2.5","160.13","91.07","21","Merino-Campos et al. 2019","reliable date","CWP","-41.8596/2/-73.8216"
"22","-41.9141","-73.7548","4","2.5","157.81","91.06","22","Merino-Campos et al. 2019","reliable date","CWP","-41.9141/4/-73.7548"
"23","-42.3812","-73.6477","-4","2.5","167.06","92.64","23","Merino-Campos et al. 2019","post-bomb","CWP","-42.3812/-4/-73.6477"
"24","-42.4796","-73.76","62","2.5","113.77","111.5","24","Merino-Campos et al. 2019","reliable date","CWP","-42.4796/62/-73.76"
"25","-42.3812","-73.6477","-4","2.5","166.95","92.67","25","Merino-Campos et al. 2019","post-bomb","CWP","-42.3812/-4/-73.6477"
"26","-52.1265","-73.4964","2","2.5","159.41","89.74","26","Merino-Campos et al. 2019","reliable date","CWP","-52.1265/2/-73.4964"
"27","-53.181","-70.9223","0","2.5","161.93","90.96","27","Merino-Campos et al. 2019","reliable date","CWP","-53.181/0/-70.9223"
"28","-53.2912","-70.4507","2","2.5","159.52","89.69","28","Merino-Campos et al. 2019","reliable date","CWP","-53.2912/2/-70.4507"
"29","-53.1587","-70.9064","-2","2.5","163.51","89.73","29","Merino-Campos et al. 2019","post-bomb","CWP","-53.1587/-2/-70.9064"
"30","-54.0667","-71.0054","2","2.5","159.31","89.74","30","Merino-Campos et al. 2019","reliable date","CWP","-54.0667/2/-71.0054"
"31","-54.317","-69.5","0","2.5","161.57","89.71","31","Merino-Campos et al. 2019","reliable date","CWP","-54.317/0/-69.5"
"32","-54.433","-70.433","2","2.5","159.53","89.64","32","Merino-Campos et al. 2019","reliable date","CWP","-54.433/2/-70.433"
"33","-54.9747","-71.1044","2","2.5","159.41","89.66","33","Merino-Campos et al. 2019","reliable date","CWP","-54.9747/2/-71.1044"
"34","-29.9516","-71.3491","118","2.5","42.87","91.18","1","Carre et al. 2016","reliable date","CWP","-29.9516/118/-71.3491"
"35","-31.9","-71.5","3246","73","70.59","252.36","2","Carre et al. 2016","strickly relationship","CWP-LH","-31.9/3246/-71.5"
"36","-31.9","-71.5","6789","65.5","-196.18","273.62","3","Carre et al. 2016","strickly relationship","EH","-31.9/6789/-71.5"
"37","-31.9","-71.5","8541","114.5","-110.82","213.24","4","Carre et al. 2016","strickly relationship","EH","-31.9/8541/-71.5"
"38","-31.9","-71.5","8599","100.5","-299.79","264.78","5","Carre et al. 2016","strickly relationship","EH","-31.9/8599/-71.5"
"39","-31.9","-71.5","9550","66.5","-66.95","286.02","6","Carre et al. 2016","strickly relationship","EH","-31.9/9550/-71.5"
"40","-31.9","-71.5","9540","312","76.09","447.92","7","Carre et al. 2016","strickly relationship","EH","-31.9/9540/-71.5"
"41","-31.9","-71.5","10251","67.5","-519.49","258.72","8","Carre et al. 2016","strickly relationship","EH","-31.9/10251/-71.5"
